2011-12-02 17:53:16 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 20:59:56 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 21:03:54 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:28:45 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:53:01 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 15:59:47 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 16:17:32 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 18:42:16 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:03 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:19 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:56 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:47:31 訂單接收	3704	當物件關閉時，不允許操作。	
2011-12-05 18:48:15 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:48:45 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:12 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:35 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2014-03-06 9:58:58 ABT需求報表	-2147217887	多重步驟操作發生錯誤。請檢查每一個狀態值。	
2014-03-06 10:08:27 ABT需求報表	3251	目前的資料錄集不支援更新。這可能成為提供者或所選鎖定類型的限制。	
2014-03-06 10:14:22 ABT需求報表	-2147217887	多重步驟操作發生錯誤。請檢查每一個狀態值。	
2014-03-06 10:43:30 Recordset2Excel	1004	無法取用'杏一訂單明細.xls'。	轉EXECL錯誤!!
2014-03-07 10:08:42 ABT需求報表	-2147217900	資料行名稱 'od.OrderLineNumber' 在 ORDER BY 子句中無效，因為它並未包含在彙總函數或 GROUP BY 子句中。	
2014-03-10 15:11:40 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2014-03-12 16:06:09 BestTRP	76	找不到路徑	檔案名稱： D:\\2014031121542.xls
2014-03-12 16:08:50 BestTRP	-2147217873	PRIMARY KEY 違反條件約束 'PK_ORDERDETAIL_1'。無法在物件 'ORDERDETAIL' 上插入重複索引鍵。	檔案名稱： D:\\2014031121542.xls
2014-03-12 16:10:02 BestTRP	76	找不到路徑	檔案名稱： D:\\2014031121542.xls
2014-03-12 16:11:31 BestTRP	76	找不到路徑	檔案名稱： D:\\阿爾發其他配送通知IT手開單-宏羚20140312-2.xls
2014-03-13 19:15:27 BestTRP	-2147217900	模稜兩可的資料行名稱 'StorerKey'。	檔案名稱： D:\\201403131557.xls
2014-03-13 19:44:47 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
BestTRP	2014-03-18 13:43:52	0	排車轉訂單	WMS: 0000203861,TMS: F140319002,LAPP01,0000513214,IT20140318TM02      
BestTRP	2014-03-18 13:43:55	0	排車轉訂單	WMS: 0000203862,TMS: F140319002,LAPP01,0000513215,A20140318-1         
BestTRP	2014-03-18 13:43:55	0	排車轉訂單	WMS: 0000203863,TMS: F140319002,LAPP01,0000513216,A20140318-2         
2014-03-24 13:22:34 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2014-03-24 13:25:25 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2014-03-24 13:38:11 BestTRP	70	沒有使用權限	檔案名稱： d:\\共用訂單匯入格式.xls
2014-03-24 14:31:14 訂單接收	5	程序呼叫或引數不正確	
2014-04-01 9:33:38 運費維護	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-01 9:33:50 運費維護	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-01 9:46:10 運費維護	-2147217900	無效的資料行名稱 'receipt_no'。	
2014-04-01 10:00:31 運費維護	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-01 10:00:39 運費維護	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-02 17:03:29 運費維護	-2147217900	資料行前置詞 'o' 與用於查詢中的資料表名稱或別名不符。	
2014-04-07 13:33:00 簽單確認	-2147217900	模稜兩可的資料行名稱 'C_ROUTE_NO'。	
2014-04-08 10:48:04 Recordset2Excel	1004	找不到 'D:\'。請檢查檔名是否有拼錯，或是檔案位置是否正確。

如果您是使用 [檔案] 功能表最下方的最近使用檔案清單來開啟檔案，請檢查這個檔案是否已被更改名稱、移動至其它地方或刪除。	請確認儲存格(0@)，資料是否有誤！
2014-04-08 10:48:07 Recordset2Excel	1004	找不到 'D:\'。請檢查檔名是否有拼錯，或是檔案位置是否正確。

如果您是使用 [檔案] 功能表最下方的最近使用檔案清單來開啟檔案，請檢查這個檔案是否已被更改名稱、移動至其它地方或刪除。	請確認儲存格(0@)，資料是否有誤！
2014-04-08 10:48:44 訂單接收	5	程序呼叫或引數不正確	
2014-04-08 11:38:10 訂單維護作業 	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-08 11:38:25 訂單維護作業 	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-08 11:38:44 訂單維護作業 	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-08 11:38:59 訂單維護作業 	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-04-08 16:34:16 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2014-04-08 17:04:40 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2014-04-08 17:05:14 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2014-04-08 17:05:40 訂單維護作業 	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2014-04-08 17:11:52 訂單維護作業 	-2147217833	字串或二進位資料會被截斷。	
2014-04-09 15:33:42 訂單維護作業 	-2147217833	字串或二進位資料會被截斷。	
2014-04-17 13:29:34 Recordset2Excel	1004	無法取用'其他訂單明細.xls'。	轉EXECL錯誤!!
2014-04-17 13:29:50 Recordset2Excel	1004	無法取用'杏一訂單明細.xls'。	轉EXECL錯誤!!
2014-04-17 13:29:55 Recordset2Excel	1004	無法取用'維康訂單明細.xls'。	轉EXECL錯誤!!
2014-04-26 13:50:24 訂單維護作業 	3704	當物件關閉時，不允許操作。	
2014-05-13 9:55:56 運費維護_0000548143	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
2014-05-16 9:31:40 請付款日報表	-2147217900	找不到預存程序 'es_LAPP01IAR_Lotion'。	
2014-05-21 16:24:41 排車資料回傳設定	94	Null 的使用不正確	回傳設定確認
2014-05-21 16:24:54 排車資料回傳設定	94	Null 的使用不正確	回傳設定確認
2014-05-21 16:37:25 排車資料回傳設定	94	Null 的使用不正確	回傳設定確認
2014-05-21 16:38:09 排車資料回傳設定	94	Null 的使用不正確	回傳設定確認
BestTRP	2014-05-21 17:42:14	0	排車轉訂單	WMS: 0000199302,TMS: F140522001,LLFA01,0000478537,55037477            
BestTRP	2014-05-21 17:44:57	0	排車轉訂單	WMS: 0000199303,TMS: F140522001,LLFA01,0000478538,55037478            
2014-05-21 18:40:53 簽單確認	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	cmd_OrderQuery_Click()
BestTRP	2014-05-22 14:06:34	0	排車轉訂單	WMS: 0000199304,TMS: F140523001,LLFA01,0000478539,55037479            
BestTRP	2014-05-22 14:06:41	0	排車轉訂單	WMS: 0000199305,TMS: F140523001,LLFA01,CT00003679,55037478            
2014-05-22 15:08:51 運費維護	3021	可能是 BOF 或 EOF 的值為 True，或目前的資料錄已被刪除。所要求的操作需要目前的資料錄。	
BestTRP	2014-05-27 16:41:30	0	排車轉訂單	WMS: 0000199306,TMS: F140528001,LLFA01,0000478540,55037480            
2014-05-27 16:42:06 排車資料回傳設定	-2147217900	無效的資料行名稱 'otheruom'。	回傳設定確認
BestTRP	2014-05-27 16:46:54	0	排車轉訂單	WMS: 0000199306,TMS: F140528001,LLFA01,0000478540,55037480            
BestTRP	2014-05-27 16:46:55	0	排車轉訂單	WMS: 0000199307,TMS: F140528001,LLFA01,0000478541,55037481            
2014-05-30 14:01:45 訂單接收	-2147023170	Automation 錯誤
遠端程序呼叫失敗。 	
2014-06-06 10:20:03 訂單接收	32755	已選取「取消」。	
2014-06-09 10:50:55 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： 
2014-06-09 10:52:02 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： 
2014-06-09 10:54:10 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： D:\ST140528141505BB(訂單-14015476).TXT
2014-06-09 10:56:49 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： D:\ST140528141505BB(訂單-14015476).TXT
2014-06-09 10:57:35 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： D:\ST140528141505BB(訂單-14015476).TXT
2014-06-09 10:58:35 BestTRP	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	檔案名稱： D:\ST140528141505BB(訂單-14015476).TXT
2014-06-09 11:01:33 BestTRP	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	檔案名稱： D:\ST140528141505BB(訂單-14015476).TXT
2014-06-12 14:36:02 訂單接收	32755	已選取「取消」。	
2014-06-12 14:36:41 訂單接收	32755	已選取「取消」。	
2014-06-13 13:36:52 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:36:56 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:36:59 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:47:22 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:47:27 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:48:50 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:50:03 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:50:28 簽單確認	6145	不正確的資料行索引	
2014-06-13 13:51:11 簽單確認	6145	不正確的資料行索引	
2014-06-15 13:05:37 POD回傳	-2147217900	無效的資料行名稱 'ReturnStatus'。	
2014-06-15 13:05:54 POD回傳	-2147217900	無效的資料行名稱 'ReturnStatus'。	
2014-06-16 15:07:52 訂單接收	32755	已選取「取消」。	
2014-06-17 18:08:28 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:26:22 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:27:33 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:29:50 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:30:09 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:31:57 BestTRP	-2147217900	無效的資料行名稱 'N2T113'。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:34:44 BestTRP	-2147217900	無效的資料行名稱 'externordertype'。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:37:06 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:40:16 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:40:43 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:48:30 BestTRP	91	沒有設定物件變數或 With 區塊變數	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:49:14 BestTRP	91	沒有設定物件變數或 With 區塊變數	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:50:12 BestTRP	91	沒有設定物件變數或 With 區塊變數	檔案名稱： ST140617132854AA.TXT
2014-06-17 18:57:31 BestTRP	91	沒有設定物件變數或 With 區塊變數	檔案名稱： ST140617132854AA.TXT
2014-06-18 14:40:17 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-18 14:40:37 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140617132854AA.TXT
2014-06-18 14:43:35 BestTRP	-2147217900	無效的資料行名稱 'updatesource'。	檔案名稱： ST140617132854AA.TXT
2014-06-18 14:46:02 BestTRP	-2147217873	PRIMARY KEY 違反條件約束 'PK_LMO01Orderdetail'。無法在物件 'CustOrderdetail' 上插入重複索引鍵。	檔案名稱： ST140617132854AA.TXT
2014-06-18 14:51:52 BestTRP	76	找不到路徑	檔案名稱： ST140617132854AA.TXT
2014-06-18 15:02:04 BestTRP	76	找不到路徑	檔案名稱： ST140617132854AA.TXT
BestTRP	2014-06-18 15:40:32	0	排車轉訂單	WMS: 0000225534,TMS: F140618001,LMBO01,0000580433,14008331            
2014-06-18 18:16:03 POD回傳	-2147217900	行 1: ',' 附近的語法不正確。	
2014-06-18 18:17:55 POD回傳	-2147217900	行 1: ',' 附近的語法不正確。	
2014-06-19 9:14:02 POD回傳	-2147168237	在此工作階段中無法啟動更多的異動。
  	
2014-06-19 9:41:23 POD回傳	-2147217900	無效的資料行名稱 'retrunstatus'。	
2014-06-19 9:41:48 POD回傳	-2147217900	無效的資料行名稱 'retrunstatus'。	
2014-06-19 9:42:30 POD回傳	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2014-06-19 9:46:44 POD回傳	-2147217900	無效的資料行名稱 'retuenstatus'。	
2014-06-19 16:08:01 POD回傳	91	沒有設定物件變數或 With 區塊變數	
2014-06-19 16:08:06 POD回傳	91	沒有設定物件變數或 With 區塊變數	
2014-06-19 16:32:31 MBO回單檢核表	383	'Text' 屬性是唯讀的	
2014-06-19 16:33:49 MBO回單檢核表	383	'Text' 屬性是唯讀的	
2014-06-19 16:34:08 MBO回單檢核表	383	'Text' 屬性是唯讀的	
2014-06-19 16:35:16 MBO回單檢核表	383	'Text' 屬性是唯讀的	
2014-06-20 9:14:08 POD回傳	-2147217900	關鍵字 'as' 附近的語法不正確。	
2014-06-20 9:18:16 POD回傳	-2147217900	關鍵字 'as' 附近的語法不正確。	
2014-06-20 10:33:36 POD回傳	91	沒有設定物件變數或 With 區塊變數	
2014-06-20 15:27:55 BestTRP	75	路徑或檔案存取錯誤	檔案名稱： ST140620151438BB.TXT
2014-06-20 15:42:28 BestTRP	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	檔案名稱： ST140620151438BB.TXT
2014-06-20 18:13:16 BestTRP	76	找不到路徑	檔案名稱： ST140620180105BB.TXT
2014-06-20 18:54:52 BestTRP	-2147217900	INSERT 陳述式中的資料行數量大於 VALUES 子句中所指定的值。在 VALUES 子句中所指定的數量值必須和 INSERT 陳述式中所指定的資料行數量相符。	檔案名稱： ST140620180105BB.TXT
2014-06-20 18:55:56 BestTRP	76	找不到路徑	檔案名稱： ST140620180105BB.TXT
2014-06-21 10:12:14 BestTRP	76	找不到路徑	檔案名稱： ST140620180105BB.TXT
2014-06-21 10:21:23 BestTRP	76	找不到路徑	檔案名稱： ST140620180105BB.TXT
2014-06-21 10:38:26 BestTRP	76	找不到路徑	檔案名稱： ST140620180105BB.TXT
2014-06-21 11:44:36 MBO回單檢核表	-2147217900	資料行前置詞 'o1' 與用於查詢中的資料表名稱或別名不符。	
2014-06-21 13:12:29 BestTRP	76	找不到路徑	檔案名稱： ST140617132854AA.TXT
2014-06-21 13:26:11 BestTRP	75	路徑或檔案存取錯誤	檔案名稱： ST140620155900BB.TXT
2014-06-21 13:28:31 BestTRP	75	路徑或檔案存取錯誤	檔案名稱： ST140620161407DD.TXT
BestTRP	2014-06-21 14:46:36	0	排車轉訂單	WMS: 0000233815,TMS: F140623001,LMBO01,0000595946,14000811            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233816,TMS: F140623001,LMBO01,0000595947,14000812            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233817,TMS: F140623001,LMBO01,0000595948,14000813            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233818,TMS: F140623001,LMBO01,0000595949,14000814            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233819,TMS: F140623001,LMBO01,0000595950,14000816            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233820,TMS: F140623001,LMBO01,0000595951,14000817            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233821,TMS: F140623001,LMBO01,0000595952,14000696            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233822,TMS: F140623001,LMBO01,0000595953,14000696            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233823,TMS: F140623001,LMBO01,0000595954,14008331            
BestTRP	2014-06-21 14:46:38	0	排車轉訂單	WMS: 0000233824,TMS: F140623001,LMBO01,0000595955,14000825            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233825,TMS: F140623001,LMBO01,0000595956,14000354            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233826,TMS: F140623001,LMBO01,0000595957,14000492            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233827,TMS: F140623001,LMBO01,0000595958,14000579            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233828,TMS: F140623001,LMBO01,0000595959,14000580            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233829,TMS: F140623001,LMBO01,0000595960,14008377            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233830,TMS: F140623001,LMBO01,0000595961,14008380            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233831,TMS: F140623001,LMBO01,0000595962,14008381            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233832,TMS: F140623001,LMBO01,0000595963,14008382            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233833,TMS: F140623001,LMBO01,0000595964,14008383            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233834,TMS: F140623001,LMBO01,0000595965,14008385            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233835,TMS: F140623001,LMBO01,0000595966,14008386            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233836,TMS: F140623001,LMBO01,0000595967,14008387            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233837,TMS: F140623001,LMBO01,0000595968,14008390            
BestTRP	2014-06-21 14:46:39	0	排車轉訂單	WMS: 0000233838,TMS: F140623001,LMBO01,0000595969,14008391            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233839,TMS: F140623001,LMBO01,0000595970,14008392            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233840,TMS: F140623001,LMBO01,0000595971,14008394            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233841,TMS: F140623001,LMBO01,0000595972,14008396            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233842,TMS: F140623001,LMBO01,0000595973,14008397            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233843,TMS: F140623001,LMBO01,0000595974,14008398            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233844,TMS: F140623001,LMBO01,0000595975,14008399            
BestTRP	2014-06-21 14:46:40	0	排車轉訂單	WMS: 0000233845,TMS: F140623001,LMBO01,0000595976,14008435            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233815,TMS: F140623001,LMBO01,0000595946,14000811            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233816,TMS: F140623001,LMBO01,0000595947,14000812            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233817,TMS: F140623001,LMBO01,0000595948,14000813            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233818,TMS: F140623001,LMBO01,0000595949,14000814            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233819,TMS: F140623001,LMBO01,0000595950,14000816            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233820,TMS: F140623001,LMBO01,0000595951,14000817            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233821,TMS: F140623001,LMBO01,0000595952,14000696            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233822,TMS: F140623001,LMBO01,0000595953,14000696            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233823,TMS: F140623001,LMBO01,0000595954,14008331            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233824,TMS: F140623001,LMBO01,0000595955,14000825            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233825,TMS: F140623001,LMBO01,0000595956,14000354            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233826,TMS: F140623001,LMBO01,0000595957,14000492            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233827,TMS: F140623001,LMBO01,0000595958,14000579            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233828,TMS: F140623001,LMBO01,0000595959,14000580            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233829,TMS: F140623001,LMBO01,0000595960,14008377            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233830,TMS: F140623001,LMBO01,0000595961,14008380            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233831,TMS: F140623001,LMBO01,0000595962,14008381            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233832,TMS: F140623001,LMBO01,0000595963,14008382            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233833,TMS: F140623001,LMBO01,0000595964,14008383            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233834,TMS: F140623001,LMBO01,0000595965,14008385            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233835,TMS: F140623001,LMBO01,0000595966,14008386            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233836,TMS: F140623001,LMBO01,0000595967,14008387            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233837,TMS: F140623001,LMBO01,0000595968,14008390            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233838,TMS: F140623001,LMBO01,0000595969,14008391            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233839,TMS: F140623001,LMBO01,0000595970,14008392            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233840,TMS: F140623001,LMBO01,0000595971,14008394            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233841,TMS: F140623001,LMBO01,0000595972,14008396            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233842,TMS: F140623001,LMBO01,0000595973,14008397            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233843,TMS: F140623001,LMBO01,0000595974,14008398            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233844,TMS: F140623001,LMBO01,0000595975,14008399            
BestTRP	2014-06-21 14:48:18	0	排車轉訂單	WMS: 0000233845,TMS: F140623001,LMBO01,0000595976,14008435            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233815,TMS: F140623001,LMBO01,0000595946,14000811            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233816,TMS: F140623001,LMBO01,0000595947,14000812            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233817,TMS: F140623001,LMBO01,0000595948,14000813            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233818,TMS: F140623001,LMBO01,0000595949,14000814            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233819,TMS: F140623001,LMBO01,0000595950,14000816            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233820,TMS: F140623001,LMBO01,0000595951,14000817            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233821,TMS: F140623001,LMBO01,0000595952,14000696            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233822,TMS: F140623001,LMBO01,0000595953,14000696            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233823,TMS: F140623001,LMBO01,0000595954,14008331            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233824,TMS: F140623001,LMBO01,0000595955,14000825            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233825,TMS: F140623001,LMBO01,0000595956,14000354            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233826,TMS: F140623001,LMBO01,0000595957,14000492            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233827,TMS: F140623001,LMBO01,0000595958,14000579            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233828,TMS: F140623001,LMBO01,0000595959,14000580            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233829,TMS: F140623001,LMBO01,0000595960,14008377            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233830,TMS: F140623001,LMBO01,0000595961,14008380            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233831,TMS: F140623001,LMBO01,0000595962,14008381            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233832,TMS: F140623001,LMBO01,0000595963,14008382            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233833,TMS: F140623001,LMBO01,0000595964,14008383            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233834,TMS: F140623001,LMBO01,0000595965,14008385            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233835,TMS: F140623001,LMBO01,0000595966,14008386            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233836,TMS: F140623001,LMBO01,0000595967,14008387            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233837,TMS: F140623001,LMBO01,0000595968,14008390            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233838,TMS: F140623001,LMBO01,0000595969,14008391            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233839,TMS: F140623001,LMBO01,0000595970,14008392            
BestTRP	2014-06-21 14:49:51	0	排車轉訂單	WMS: 0000233840,TMS: F140623001,LMBO01,0000595971,14008394            
